partyfacts_id,x_1,lo_1,up_1,x_2,lo_2,up_2
6155,-0.12020763234177267,-0.4463673951175342,0.21477024366751582,1.0845523565930675,-0.19475583203489116,2.496919359488813
6202,0.2298071892783126,-0.2020176006577252,0.6423680553664386,0.46900693640061963,-0.7246678184430919,1.8165861717741596
6236,0.4264715837103627,-0.18917560277400816,1.0040100213190168,0.6763155066026103,-0.5739740580280309,2.0615094059804524
6242,-0.2482069353526446,-0.9709548098072862,0.5398000562185913,-0.49894645036930857,-1.5633706601799573,0.6347803259066929
6356,0.8743981377435803,0.3820441073091353,1.363369320491079,-0.2218962430017687,-1.478017362138514,1.1415681078992792
6357,-0.8297892209178639,-1.2794096490928568,-0.3943401403402071,1.5308873572912896,0.19031924844729306,2.998222338165124
6366,1.664693401506052,1.1252236672886589,2.3443128779057223,-0.3346480947642242,-1.7259511446051794,1.1964174851869795
6684,-1.6845908043773163,-2.341102088128837,-1.0347485496793931,-0.6729950358518451,-1.9350397047481331,0.778653127516924
6685,-1.353039064576631,-1.988864455007575,-0.7426327394175404,0.02914054687424859,-1.1855314010978337,1.4011071224446003
6686,0.5522675727556301,0.049722106363883675,1.0620448733684122,0.616877739359381,-0.6727808425444706,2.0161695148505254
6758,0.05678373453769201,-0.4786957978021554,0.556354073686766,-0.2886573567640756,-1.423463121076377,0.9884778346553501
7008,-0.9103979001840642,-1.929310854783524,0.28349476464842854,-0.38184978607805165,-1.5882143952561092,0.891601341227182
7015,-0.3990885607331315,-0.7539552818650385,-0.015621145912931652,0.12331464676770648,-0.962309627764568,1.3074219754271472
7031,-1.3561897170925723,-1.968979365382453,-0.7454324987051973,0.01851213239984265,-1.2284873688715374,1.4243039085924172
7033,-0.9708513067523306,-1.4432196112621896,-0.5331604008774431,1.6141185747125277,0.2972678180090869,3.0534541251632863
7035,-1.245886660780085,-1.781543417978283,-0.7359283887116854,-0.18483338586836626,-1.4309258478742954,1.1820419996815932
7336,-0.14145134102019158,-0.5774640250748047,0.3005167056912404,0.79765354611564,-0.4129880932530754,2.0965215198820553
7337,-0.05435995281968542,-0.5649347383675791,0.4201188576566963,0.7769323553946413,-0.3910044743065329,2.031962021014536
7338,1.2991209573292175,0.538321420428696,2.085216390399817,-0.8168646435614857,-2.077807135325662,0.5165105451479775
7339,1.2994198467118676,0.8728805502226226,1.767462320324878,-1.6259785108893587,-2.953462299640539,-0.34019390784324016
7340,-0.1604551961779755,-0.5157493539598107,0.19748196448708547,1.013917897610029,-0.18537148612152074,2.332515172541737
7341,-0.5699732463841292,-1.3104890347148583,0.26228661067322245,-0.28094604463219375,-1.3801572928491896,0.927443356515192
7342,-0.9509391188087513,-1.4610113910428082,-0.5021026241202846,0.09764140992656609,-1.1560654378791049,1.469730795579909
7344,-0.24275573652825624,-1.0298992550456831,0.6591670266268433,-1.3075435968298856,-2.405071018525816,-0.20142122051687766
7347,1.3826377475680642,0.9384601870880492,1.8767644585632213,-1.8969434015217392,-3.3060926346727375,-0.5129222100079067
7348,-1.1108786627095892,-1.6762040021079665,-0.6036002625255525,1.077504772252666,-0.2847038704160909,2.499781874060662
7349,1.154316696818585,0.6310647430224159,1.7227595245444713,-1.9325390610688897,-3.241524657916918,-0.5531815381373979
7352,-0.601755899859775,-1.0614024874079984,-0.042762754019201335,0.5290523374919518,-0.63844196237108,1.8095134037830216
7353,-0.41788706881761245,-0.7711450065217162,-0.02713363931428021,1.3956622140622938,0.1232354413849304,2.773579099357987
7354,-0.358101495056362,-0.7465787280785297,0.09427618374194531,0.8901787874366307,-0.2840498222051291,2.159876208455565
7355,-0.41414167734757107,-0.7802845579338934,-0.02279766919817197,1.3902618512794525,0.09994189552818333,2.8217827119372396
7357,0.6355056312698572,-0.00809009742529301,1.2324251460248743,0.13226165040281002,-1.1007980317293031,1.4945059287269007
7358,0.10114886579656984,-0.4182411742384934,0.5425107139169053,0.8008985628512961,-0.4048926741847692,2.0752294341982638
7359,-0.4276911199282723,-0.7760333123135748,-0.04359456268832715,0.2714272870917369,-0.8266135611030077,1.4935228569773142
7360,1.1795267018998639,0.6224371468331362,1.7459928746664624,0.33437100596260266,-1.0380449753221785,1.9564779464668947
7361,-0.5015832222809011,-0.8980792825354244,-0.030449618836285063,1.2641474965571042,0.0247506371879824,2.6169102569943576
7422,1.5670152212947133,1.0308309670230376,2.213080428782535,-0.15752251244450122,-1.4665767764314992,1.3997891353181593
7565,0.12310848269552152,-0.31659519080051635,0.5095353535788428,-0.09322064227419578,-1.1894296010628413,1.1049338359692666
7619,1.5237114350784529,0.9780443460286173,2.1258499702089253,-0.11553799539792808,-1.3941145487091644,1.377474076896857
7656,-1.1208917147832436,-1.6862342690192629,-0.5794117849275296,-0.7985083840809633,-1.9849793287298418,0.4893128244934939
