country,partyfacts_id,name_short,ches_short,ches_id,ches_left_right,ches_eu_integration,ches_gal_tan,ches_economy,ches_redistribute
IRL,1288,FG,FG,702,5.86,6.29,4.29,6.43,5.86
IRL,1775,Greens,GP,705,3.14,5.86,2.14,3.14,3
IRL,8181,I4C,I4C,711,3.25,3.67,3,2.75,3.75
IRL,562,Lab,Lab,703,3.57,6.14,2.86,3.57,3.29
IRL,242,PBPA,PBPA,709,0.8,2,2,0.4,1
IRL,924,PD,PD,706,8.1,5.7,4.11,8.5,7.33
IRL,4869,RI,RI,712,8,3.2,7.8,7.6,7.75
IRL,4,SF,SF,707,2.57,3.71,4.43,2.14,2.29
IRL,1448,SP,SP,708,0.88,2.22,1.86,0.5,0.86
ISL,7565,CP,,,,,,,
ISL,964,F,,,,,,,
ISL,5852,FlF,,,,,,,
ISL,457,Graen,,,,,,,
ISL,2048,Pi,,,,,,,
ISL,1396,Sam,,,,,,,
ISL,363,Sj,,,,,,,
ISL,5454,V,,,,,,,
ITA,2415,1-perc,SD,842,2.14,5.75,1.14,1.86,1
ITA,614,AD,CU/UD,817,5,5,5,5,
ITA,813,AN,AN,805,7.33,5.75,7.33,5.22,4.88
ITA,1767,CCD,CCD; UDC,814,5.29,6.14,7.86,5.29,6
ITA,2278,CD,CD,843,5,5.8,6.29,5,5
ITA,763,CDU,CDU,818,6,6.23,7.85,5.29,
ITA,279,DL — M,DEM; DL,819,4,7,5.13,4.43,3.33
ITA,878,DS,PDS; DS,802,2.71,6.88,2.88,3,2.17
ITA,2280,FdI,FDL,844,9.05,1.95,9.42,6.39,5.53
ITA,851,FdV,FdV;Verdi,808,1.75,5.86,0.75,2,2
ITA,1626,FI,FI,815,6.95,4.89,6.84,7.84,6.89
ITA,768,IdV,IdV,828,4,6.14,3.5,4.71,3.75
ITA,2134,LB,LB,820,4.6,6.17,0.6,8.2,
ITA,1221,LN,LN,811,8.79,1.68,9.21,7.68,7.32
ITA,2046,M5S,M5S,845,4.78,3.47,3.74,3.21,1.89
ITA,1165,MRE,MRE,832,4.33,7,3.83,4.75,4.5
ITA,1101,MSFT,MS,821,9.67,2.17,9.6,5.17,
ITA,2052,NCD,NCD,848,6.14,5.71,8,6,7
ITA,888,NPSI,NPSI,835,5.43,5.33,3.57,5.67,5.2
ITA,802,PD,PD,837,3.21,6.79,2.26,3.58,2.72
ITA,1635,PdCI,PdCI,836,0.8,3.75,1.29,1,0.71
ITA,598,PdUP,PdUP,822,2.17,4.5,3,1,
ITA,772,PP,PP,830,5.75,4.6,8,4.5,3.75
ITA,1701,PPI,PPI,823,4.42,6.46,5.38,4.21,
ITA,1404,PRC,RC,803,0.29,2,1,0.14,0.25
ITA,394,PRI,PRI,806,5,5.83,5.17,5.8,
ITA,688,PS,SEG,826,6,6,4.6,6.4,
ITA,877,PSA,PsDA,824,4.2,5.25,6.25,3.67,
ITA,1126,PSDI,PSDI; SDI,807,3.86,6.43,1.38,3.83,3
ITA,742,PSI,PSI,839,4.14,5.75,1.5,3.33,2.75
ITA,1449,R,RAD,813,4.31,6.75,0.41,6.6,5.71
ITA,259,RiI,RI,825,5.23,5.92,5.83,5.77,
ITA,2281,SC,SC,846,5.43,6.86,5.43,7.57,6.75
ITA,1212,SI,SL; SEL,838,1.44,5.27,0.69,1,1
ITA,1369,SVP,SVP,827,5.17,5.9,6.67,5.12,5.2
ITA,115,UDEUR,UDEUR,829,5,6.29,7.75,4.29,3.67
ITA,6242,VdA,VdA,847,4.83,5.33,6,4.5,2
LTU,74,DK,DK,2520,6.88,3.11,9,3.33,3
LTU,102,DP,DP,2516,4.91,5.1,6.1,4.91,5.1
LTU,1250,F/SLF,FRONT,2519,1.15,2.7,5.75,1,0.38
LTU,2778,indep,VKM-AMT,2523,5.22,6.8,3.11,4.11,3.44
LTU,1026,JL,JL-PKS,2513,9.8,1.6,8.6,2.25,
LTU,52,KKSS,NKS,2510,6.6,6,5.25,5.5,
LTU,5455,LCP,LCP,2521,5.33,3.8,8.62,3.78,4
LTU,1185,LCS,LCS,2509,5.6,6.4,4.2,6.25,
LTU,1063,LKD,LKDP,2508,7.4,5.4,8.2,4.25,
LTU,556,LLRA,LLRA,2511,6.09,4.5,9.45,2.82,3.22
LTU,1410,LLS,LLS,2512,7.8,2.2,8.75,0.75,
LTU,1357,LLS,LLS; LiCS,2505,6.23,6.08,4.08,6.75,5.92
LTU,1747,LMP — NDP,NDP,2502,3.2,5.2,6.25,3.75,
LTU,1744,LRLS,LRLS,2518,6.82,6.64,1.91,8.27,6.64
LTU,168,LRS,LRS,2503,2.2,4.2,7,2.25,
LTU,64,LSDP,LSDP,2501,2.36,6.73,2.73,2.82,3.09
LTU,21,LVP,LVP; LVLS; LVZS,2507,5.09,5.45,8.45,4,5.09
LTU,1407,LZP,LZP,2522,4,6.12,3.33,4.33,4.33
LTU,8392,MKDS,MKDS,2514,7,6.6,5,6.75,
LTU,1800,NS,NS,2504,4.08,6.2,5.33,4,4
LTU,347,TPP,TPP,2517,5.44,5.56,4.5,5.78,6
LTU,193,TS — LKD,TS-LKD,2506,7.18,6.82,6.64,6.73,5.45
LTU,237,TT — LDP,TT,2515,6.64,3.64,8.64,4.27,4.22
LUX,1114,ADR,ADR,3805,8,4,8,7,4.5
LUX,539,CSV,CSV,3801,6,6.5,6,5.5,3.5
LUX,271,DL,DL,3806,1.5,4,2.5,1.5,1.5
LUX,300,DP,DP,3803,5.5,6.5,4,5.5,6.5
LUX,1138,Greng/GAP,Greng,3802,4.5,6,3,4.5,4
LUX,186,LSAP,LSAP,3804,4,6.5,4,4,3.5
LUX,2065,Pi,PPLU,3807,5,4.5,5,5.5,5
LVA,8393,AP!,AP!,2417,5.82,6.64,1.91,5.9,4.73
LVA,6355,JKP,JKP,2416,7.27,5.73,7.09,6.18,5.36
LVA,1531,JL,JL,2401,7,5.75,5,7,7.5
LVA,6356,KPVLV,KPV,2415,5.7,5.09,5.5,5,5.5
LVA,1043,LC,LC,2407,6.75,7,6,8,8.5
LVA,1778,LPP,LPP,2404,7,5.75,8,7.75,8
LVA,3194,LRa,LRA,2414,6,5.33,6.22,6.62,6.29
