year,party_id,party,eu_position,eu_blur,lrgen,galtan,lrecon,redistribution
1999,113,MCC,6.428571224212646,NA,5.571428775787354,5.800000190734863,5.800000190734863,NA
1999,114,ID21,4.625,NA,5.142857074737549,4,5.142857074737549,NA
2010,117,LDD,3.5,NA,8.428571701049805,5.066666603088379,8.866666793823242,8.399999618530273
2010,118,Spirit,5.25,NA,2.769230842590332,1.909090995788574,2.384615421295166,2.428571462631226
2010,115,FN,2.615384578704834,NA,9.214285850524902,9.666666984558104,8.454545021057129,6.599999904632568
2014,111,FDF,6.400000095367432,NA,5.599999904632568,4,5.599999904632568,5
2014,120,PP,2.5,NA,7.75,7.5,8.5,6.5
2019,119,PVDA-PTB,2.727272748947144,1.5,0.3333333432674408,4.583333492279053,0.3333333432674408,0.3333333432674408
2019,110,VU/NVA,4.25,4,7.916666507720947,6.090909004211426,7.916666507720947,7
2019,105,AGALEV,6.583333492279053,1.2857143,2.416666746139526,1.166666626930237,2.666666746139526,2.25
2019,112,VB,2.25,3,9.583333015441896,8,5,4.416666507720947
2019,107,VLD/PVV,6.833333492279053,1.2857143,6.583333492279053,2.454545497894287,7.166666507720947,6
2019,103,SP/SPA,6,1.7142857,3.083333253860474,2.75,3.083333253860474,2
2019,104,ECOLO,6.583333492279053,1.4285715,2.083333253860474,1.083333373069763,2.5,1.916666626930237
2019,102,PS,6.083333492279053,2.1666667,2.083333253860474,2.916666746139526,2.25,1.583333373069763
2019,106,PRL/MR,6.5,1.7142857,6.5,3.181818246841431,6.916666507720947,5.833333492279053
2019,109,CDV,6.583333492279053,1.8571428,5.583333492279053,6.25,5.583333492279053,5
2019,108,PSC/CDH,6.416666507720947,2.1428571,4.583333492279053,5,4.666666507720947,3.916666746139526
1999,204,CD,7,NA,5.571428775787354,6.199999809265137,5.285714149475098,NA
1999,212,FP,1.428571462631226,NA,9.285714149475098,7.599999904632568,8.857142448425293,NA
1999,210,KRF,4.714285850524902,NA,5.428571224212646,5.400000095367432,5.714285850524902,NA
2006,216,JuniB,1.22,NA,3.17,4.75,2.83,3.5
2014,217,FolkB,1.090909123420715,NA,2,2.75,1.333333373069763,2
2019,218,LA,4.071428775787354,5,8,3.857142925262451,8.714285850524902,9.071428298950195
2019,220,NB,1.785714268684387,1.75,9,8.307692527770996,8.571428298950195,8.785714149475098
2019,215,DF,2,1.75,6.928571224212646,8,4.428571224212646,4.357142925262451
2019,219,A,5.384615421295166,3.5,2.5,0.9285714030265808,3.214285612106323,2.846153736114502
2019,203,KF,5.714285850524902,3.25,7.071428775787354,6.071428775787354,7.571428775787354,7.214285850524902
2019,206,SF,5.142857074737549,3.75,2.642857074737549,2.571428537368774,2.5,2.071428537368774
2019,202,RV,6.928571224212646,1.75,5.071428775787354,1.357142806053162,5.642857074737549,5.142857074737549
2019,211,v,5.785714149475098,3.75,6.642857074737549,5.357142925262451,6.857142925262451,6.5
2019,213,EL,2.428571462631226,1.75,1,1.071428537368774,1,0.6428571343421936
2019,201,SD,5.071428775787354,5.25,4,5,3.714285612106323,3.142857074737549
1999,305,REP,1.75,NA,9.214285850524902,9.416666984558104,7.222222328186035,NA
2014,309,NPD,1.666666626930237,NA,10,9.818181991577148,5.333333492279053,5.599999904632568
2019,311,Piraten,6.5,4,2.142857074737549,1.333333373069763,2.400000095367432,2.5
2019,301,CDU,6.285714149475098,3.5555556,5.857142925262451,5.857142925262451,5.904761791229248,5.947368621826172
2019,308,CSU,5.684210300445557,4,7.190476417541504,7.285714149475098,6.38095235824585,6.315789699554443
2019,306,LINKE,4.714285850524902,4.6666665,1.428571462631226,2.809523820877075,1.285714268684387,0.8947368264198303
2019,310,AfD,1.904761910438538,3,9.2380952835083,9.523809432983398,7,6
2019,304,GRUNEN,6.761904716491699,1.8888888,3.238095283508301,1.095238089561462,3.809523820877075,3.421052694320679
2019,302,SPD,6.523809432983398,2.7777777,3.61904764175415,3.38095235824585,3.714285612106323,3.052631616592407
2019,312,DieTier,5,NA,2.333333253860474,1.5,3,NA
2019,303,FDP,5.761904716491699,4.1111112,6.428571224212646,3.428571462631226,7.904761791229248,8.578947067260742
1999,408,POLA,5.428571224212646,NA,7.571428775787354,7,6.714285850524902,NA
2010,411,OP,5.571428775787354,NA,2.25,0.625,2.625,1.625
2010,409,DIKKI,1.799999952316284,NA,5,6.666666507720947,2.599999904632568,0.6000000238418579
2014,410,LAOS,3.25,NA,8.666666984558105,8.333333015441895,5.333333492279053,5.5
2014,414,DIMAR,5.777777671813965,NA,3.222222328186035,2.555555582046509,3.444444417953491,2.444444417953491
2014,413,Potami,6,NA,4.888888835906982,2.111111164093018,5.666666507720947,4
2014,412,ANEL,2.222222328186035,NA,8.777777671813965,8.55555534362793,5.111111164093018,5.166666507720947
2019,417,MR25,4.625,7,1.428571462631226,0.6666666865348816,1.75,1
2019,402,ND,6.888888835906982,2.6666667,7.111111164093018,7.44444465637207,7.222222328186035,7.333333492279053
2019,418,KIDISO,6.199999809265137,1,4.199999809265137,3.200000047683716,4.800000190734863,3.599999904632568
2019,401,PASOK,6.888888835906982,1.6666666,4.333333492279053,3.888888835906982,4.222222328186035,3.777777671813965
2019,416,EL,2.125,7.3333335,9,9.375,4.375,3.571428537368774
2019,403,SYRIZA,5,5.6666665,2.333333253860474,2.444444417953491,2.222222328186035,1.333333373069763
2019,415,XA,1.222222208976746,2.6666667,10,10,3.375,2.75
2019,404,KKE,1.111111164093018,0,0.2222222238779068,6.625,0.1111111119389534,0.1111111119389534
1999,519,PSC,6.5,NA,4.208333492279053,3.708333253860474,4.227272510528564,NA
1999,508,EH,2.900000095367432,NA,1.272727251052856,4.388888835906982,1.799999952316284,NA
1999,514,VERDE,5.875,NA,2.888888835906982,1.888888835906982,2.375,NA
1999,510,PAR,6.099999904632568,NA,6.181818008422852,5.958333492279053,6.272727489471436,NA
1999,512,UV,6.222222328186035,NA,6.041666507720947,5.875,5.727272510528564,NA
2002,516,PA,6.3,NA,5.2,4.43,4.86,NA
2010,522,EdP-V,5.5,NA,2.857142925262451,2.166666746139526,3,3
2010,521,CpE,5,NA,5.400000095367432,5.400000095367432,5.400000095367432,5.5
2010,520,CHA,5,NA,2.900000095367432,2,2.555555582046509,2
2014,507,EA,6.375,NA,4.333333492279053,4.5,4.125,4.777777671813965
2014,505,CiU,6.300000190734863,NA,6.199999809265137,6.199999809265137,7,6.5
2014,523,UPyD,6.666666507720947,NA,5.666666507720947,3.111111164093018,6,4.666666507720947
2014,518,ICV,4.800000190734863,NA,2.111111164093018,0.8888888955116272,2,1.600000023841858
2019,506,PNV,6.400000095367432,1.6666666,6,5.666666507720947,5.800000190734863,5.333333492279053
2019,502,PPP,6.466666698455811,2.8333333,8.066666603088379,8,7.933333396911621,7.266666889190674
2019,528,Pais,5.866666793823242,2,2.733333349227905,1.666666626930237,2.799999952316284,2.333333253860474
2019,524,EHB,4.5,3.8333333,1.285714268684387,1.75,1.466666698455811,1.916666626930237
2019,504,IU,5.285714149475098,3.1666667,1.866666674613953,2.200000047683716,1.799999952316284,1.399999976158142
2019,526,Cs,6.733333110809326,2.8333333,7.199999809265137,5.466666698455811,7.400000095367432,6.533333301544189
2019,513,BNG,5.545454502105713,3.5,3.142857074737549,3.083333253860474,2.923076868057251,2.916666746139526
2019,501,PSOE,6.800000190734863,2.3333333,3.599999904632568,2.933333396911621,3.799999952316284,2.799999952316284
2019,525,Podemos,5.266666889190674,4,1.933333277702332,1.333333373069763,2.133333444595337,1.666666626930237
2019,517,CC,6.384615421295166,2,6.714285850524902,6.307692527770996,6.357142925262451,5.75
